Equipo,Nombre,IRJ General,Edad,Posicion
Asociación Deportiva San Carlos,Christian Montero Fallas,23,34,Defensa
Belén Fútbol Club,Luis Torres Brenes,23,31,Portero
Limón Fútbol Club,Yoserth Hernández  Loría,23,21,Volante
Asociación Deportiva Carmelita,Bryan Rodríguez Torres,23,20,Portero
Asociación Deportiva Carmelita,Pablo Morera Jara,23,19,Defensa
Municipal Liberia,Jose Balanta Caracas,23,21,Volante
Deportivo Saprissa,Alvaro Saborio Chacón,22,34,Delantero
Deportivo Saprissa,Roy Miller Hernández,22,32,Defensa
Deportivo Saprissa,Keven Alemán Bustos,22,22,Delantero
Club Sport Herediano,Víctor Núñez Rodríguez,22,36,Delantero
Club Sport Herediano,William Quirós Espinoza,22,22,Defensa
Club de Fútbol UCR,Junior Alvarado Ramírez,22,28,Volante
Deportivo Saprissa,Anllel Porras Conejo,21,26,Delantero
Liga Deportiva Alajuelense,Michael Umaña Corrales,21,34,Defensa
Limón Fútbol Club,Steven Williams Barnertt,21,30,Defensa
Limón Fútbol Club,Devon Green Wisher,21,22,Defensa
Municipal Liberia,Jean Sánchez Gutiérrez,21,24,Delantero
Liga Deportiva Alajuelense,Steve Garita Jiménez,20,23,Defensa
Liga Deportiva Alajuelense,Christopher Meneses Barrantes,20,26,Defensa
Club Sport Herediano,Heyreel Saravia Vargas,20,24,Volante
Belén Fútbol Club,Reinaldo Brenes Pozuelo,20,25,Volante
Club Sport Cartaginés,José Pérez González,19,29,Volante
Asociación Deportiva San Carlos,Richard Castañeda Williams,19,30,Volante
Limón Fútbol Club,Kendrick Pinnock Colley,19,29,Volante
Asociación Deportiva Carmelita,Giancarlo Palacios Reyes,19,31,Volante
Municipal Pérez Zeledón,Diego Calvo Fonseca,18,25,Volante
Belén Fútbol Club,Víctor Murillo Villegas,18,21,Defensa
Deportivo Saprissa,Aarón Cruz Esquivel,17,25,Portero
Deportivo Saprissa,Mariano Torres,17,29,Volante
Asociacion Deportiva Santos,César López Monge,17,27,Defensa
Asociacion Deportiva Santos,Starling Matarrita González,17,26,Delantero
Belén Fútbol Club,Jordan Medina Carrillo,17,20,Volante
Asociación Deportiva Carmelita,Andrey Ugalde Sánchez,17,22,Volante
Club de Fútbol UCR,Ignacio Quesada Rojas,17,28,Defensa
Club de Fútbol UCR,Jorge Davis Brown,17,31,Volante
Liga Deportiva Alajuelense,Jean Agüero Duarte,16,23,Defensa
Liga Deportiva Alajuelense,Jonathan McDonald Porras,16,29,Delantero
Club Sport Cartaginés,Giovannie Clunie Asenjo,16,22,Delantero
Municipal Liberia,Walter Chévez Ruiz,16,30,Volante
